question,answer,correct,time,coins
Which country grows the most mangoes?,"India,Philippines,Indonesia,Thailand",India,1652710530,100
Chocolate is made from what type of bean?,"Kidney,Pinto,Cocoa,Lima",Cocoa,1652710530,100
Which of these 'nuts' is actually a fruit?,"Hazelnut,Cashews,Pistachios,Walnuts",Pistachios,1652710530,100
"Which of the following fruits, popularly found in Singapore, is known for its 'strong smell'?","Durian,Dragon Fruit,Lychee,Jackfruit",Durian,1652710530,100
Which country has the highest per capita tea consumption in the world?,"India,China,Turkey,UK",Turkey,1652710530,100
Which was the world's first fast food outlet?,"White Castle,Wendy's,McDonald's,Burger King",White Castle,1652710530,100
Which drink was initially introduced and marketed as a brain tonic and an intellectual beverage?,"Red Bull,Gatorade,Coca Cola,Sprite",Coca Cola,1652710530,100
Kid's meals at McDonald's is called?,"Happy Meal,Mini Meal,Happy Box,Children's Meal",Happy Meal,1652710530,100
Where was the first McDonald's restaurant located?,"California,Florida,New Jersey,Ohio",California,1652710530,100
Bib-Label Lithiated Lemon-Lime Soda' was the original name of which soda?,"Sprite,7UP,Fanta,Coca Cola",7UP,1652710530,100
Which country has the highest consumption of chocolate?,"Switzerland,France,USA,Germany",Switzerland,1652710530,100
What is the most common pizza topping?,"Olives,Pepper,Pepperoni,Anchovies",Pepperoni,1652710530,100
Caviar' is a French delicacy consisting?,"Unfertilized fish eggs,Oyster,Fungi,Jellyfish",Unfertilized Fish Eggs,1652710530,100
What word is used in India for tea?,"Té,Ocha,Chai,Tee",Chai,1652710530,100
Which of the following fast food chain had it's own perfume at one point?,"Burger King,McDonald's,Dominos,Pizza Hut",Pizza Hut,1652710530,100
What do you call a person who does not eat meat but eats fish and other seafood?,"Pescatarian,Vegetarian,Vegan,Flexitarian",Pescatarian,1652710530,100
Which country invented ice-cream?,"Persia,France,China,USA",China,1652710530,100
Which fast food restaurant sells the Big Mac?,"McDonald's,Burger King,White Castle,Subway",McDonald's,1652710530,100
Which fast food restaurant aired ads featuring a man who lost 245 pounds eating only their products?,"Subway,Papa John's,Dominos,Pizza Hut",Subway,1652710530,100
Colonel Sanders was the founder of Which fast-food chain?,"McDonald's,Dominos,KFC,Burger King",KFC,1652710530,100
Lady finger is also known as?,"Zucchini,Courgette,Okra,Aubergine",Okra,1652710530,100
What category of fruits do bananas fall into?,"Berries,Melons,Citrus,Tropical",Berries,1652710530,100
Which name does Burger King go by in Australia?,"Arby's,Hungry Jack's,Shake Shack,Applebees",Hungry Jack's,1652710530,100
Which is the most expensive spice in the world?,"Saffron,Cumin Seeds,Vanilla Bean,Cardamom",Saffron,1652710530,100
What is the main Ingredient in falafel?,"Pork,Chickpeas,Beans,Chicken",Chickpeas,1652710530,100
"Which brand of chips was originally invented in Disneyland, in 1964?","Takis,Cheetos,Doritos,Lays",Doritos,1652710530,100
